bogstav;procent_25;procent_21;partier;listebogstav;kommune_kode;kommune;pp_change
FG;1,9456377702155427;0,1318402291741267;Frie Grønne;Q;101;københavn;1,813797541041416
S;30,530472994270667;28,73915687385332;Socialdemokratiet;A;751;aarhus;1,7913161204173456
S;40,29630237616448;38,536785506057136;Socialdemokratiet;A;615;horsens;1,7595168701073476
EL;3,8516651843067495;2,100329803853498;Enhedslisten;Ø;540;sønderborg;1,7513353804532517
S;31,23505295524428;29,51474462479817;Socialdemokratiet;A;773;morsø;1,7203083304461124
LA;3,4360189573459716;1,7756947653310449;Liberal Alliance;I;153;brøndby;1,6603241920149268
DF;3,9628408129435537;2,3054277828886844;Dansk Folkeparti;O;740;silkeborg;1,6574130300548693
EL;3,81105743424584;2,1776203594385413;Enhedslisten;Ø;482;langeland;1,6334370748072988
DF;4,296839212093449;2,6730611231060246;Dansk Folkeparti;O;791;viborg;1,6237780889874243
DF;6,844996507654844;5,251619332336821;Dansk Folkeparti;O;730;randers;1,5933771753180226
LA;2,3650062787777313;0,802899358795651;Liberal Alliance;I;329;ringsted;1,5621069199820803
EL;6,913078486254362;5,351525797622452;Enhedslisten;Ø;167;hvidovre;1,5615526886319095
EL;7,219609192765095;5,668703326544467;Enhedslisten;Ø;169;høje-taastrup;1,5509058662206279
DF;2,142140707837799;0,6055428528354984;Dansk Folkeparti;O;157;gentofte;1,5365978550023005
EL;5,702682122006938;4,173149080259907;Enhedslisten;Ø;161;glostrup;1,5295330417470314
EL;4,450345405901849;2,9320212872778395;Enhedslisten;Ø;621;kolding;1,518324118624009
EL;6,799259944495837;5,283582089552239;Enhedslisten;Ø;260;halsnæs;1,5156778549435979
LA;2,75866442591242;1,2585924713584289;Liberal Alliance;I;147;frederiksberg;1,5000719545539911
SF;15,240668978176627;13,741469727603;SF;F;751;aarhus;1,4991992505736267
SF;9,772756018381887;8,296238107707078;SF;F;270;gribskov;1,4765179106748096
R;6,051556114429425;4,582266795350594;Radikale;B;240;egedal;1,4692893190788308
R;2,449505801461109;0,9885815004981224;Radikale;B;269;solrød;1,4609243009629864
SF;6,97127498740131;5,524079320113314;SF;F;671;struer;1,4471956672879962
EL;6,6836487142164005;5,24421915579336;Enhedslisten;Ø;230;rudersdal;1,4394295584230408
ALT;3,2194228126431517;1,7941418117201977;Alternativet;Å;791;viborg;1,425281000922954
V;37,35436525949463;35,93829929563609;Venstre;V;766;hedensted;1,4160659638585358
SF;5,716278505579816;4,389999687099095;SF;F;230;rudersdal;1,3262788184807208
DF;4,789464090411958;3,478781735243976;Dansk Folkeparti;O;849;jammerbugt;1,3106823551679816
DF;5,974264705882353;4,6870885631528125;Dansk Folkeparti;O;217;helsingør;1,2871761427295407
SF;8,004250797024442;6,7340987789320215;SF;F;410;middelfart;1,2701520180924204
K;12,781235040689326;11,512173330355148;Konservative;C;846;mariagerfjord;1,269061710334178
R;3,047758692919983;1,7821992871202852;Radikale;B;450;nyborg;1,265559405799698
K;14,847097060127048;13,59094457455113;Konservative;C;336;stevns;1,2561524855759174
SF;5,2034928254097945;3,954802259887006;SF;F;550;tønder;1,2486905655227885
DF;4,757160647571607;3,511209583536746;Dansk Folkeparti;O;710;favrskov;1,2459510640348608
DF;6,08289054197662;4,856934572626207;Dansk Folkeparti;O;410;middelfart;1,2259559693504132
SF;4,978308797382832;3,756349175099421;SF;F;253;greve;1,221959622283411
KD;1,4468324202837477;0,2375224580529248;Kristendemokraterne;K;259;køge;1,209309962230823
SF;19,44792050055208;18,24282628818266;SF;F;165;albertslund;1,2050942123694206
SF;8,186464154367865;6,99263800598005;SF;F;157;gentofte;1,1938261483878154
DF;5,397235942101245;4,253854851131466;Dansk Folkeparti;O;630;vejle;1,143381090969779
DF;5,646836638338055;4,517639948628843;Dansk Folkeparti;O;573;varde;1,1291966897092118
K;9,218340835572594;8,09750726831702;Konservative;C;561;esbjerg;1,1208335672555734
EL;8,096590909090908;6,980894701424852;Enhedslisten;Ø;217;helsingør;1,1156962076660566
S;25,62416900576156;24,51990632318501;Socialdemokratiet;A;336;stevns;1,1042626825765502
R;4,362661846964055;3,2608517541416098;Radikale;B;630;vejle;1,1018100928224448
SF;4,814159292035399;3,732411161459576;SF;F;155;dragør;1,0817481305758228
DF;4,758569545154911;3,6796354122710775;Dansk Folkeparti;O;787;thisted;1,0789341328838336
EL;11,217437533227006;10,15224763691464;Enhedslisten;Ø;163;herlev;1,0651898963123667
DF;4,090759211936361;3,0299848815723163;Dansk Folkeparti;O;657;herning;1,060774330364045
EL;7,634779750164365;6,575557787189451;Enhedslisten;Ø;190;furesø;1,059221962974914
R;4,463823173890519;3,4653896386591208;Radikale;B;665;lemvig;0,9984335352313987
ALT;1,7741066049402292;0,7888707037643208;Alternativet;Å;147;frederiksberg;0,9852359011759084
R;6,2559241706161135;5,280876625519836;Radikale;B;153;brøndby;0,9750475450962774
DF;5,547957424035203;4,573563514558104;Dansk Folkeparti;O;340;sorø;0,974393909477099
ALT;2,277362653662878;1,311310114707151;Alternativet;Å;751;aarhus;0,9660525389557271
K;5,598097502972651;4,639769452449568;Konservative;C;360;lolland;0,9583280505230833
EL;11,53283817767121;10,614369365182638;Enhedslisten;Ø;159;gladsaxe;0,9184688124885714
V;19,289114132109713;18,428571428571427;Venstre;V;430;faaborg-midtfyn;0,860542703538286
EL;4,850566980588122;4,074736632876168;Enhedslisten;Ø;330;slagelse;0,7758303477119544
DF;3,4987855301948714;2,729687167040015;Dansk Folkeparti;O;751;aarhus;0,7690983631548565
DF;7,031354236157439;6,277109926880654;Dansk Folkeparti;O;265;roskilde;0,7542443092767845
DF;1,4237245140628467;0,6955810147299509;Dansk Folkeparti;O;147;frederiksberg;0,7281434993328958
DF;8,098483032565147;7,382142857142856;Dansk Folkeparti;O;430;faaborg-midtfyn;0,7163401754222907
EL;4,835143708545612;4,129151660664266;Enhedslisten;Ø;316;holbæk;0,7059920478813462
R;4,178085079472154;3,478222920485293;Radikale;B;270;gribskov;0,6998621589868605
EL;4,083047982315461;3,391184695281637;Enhedslisten;Ø;420;assens;0,6918632870338235
