dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;region;største_parti;pop_up
705882;Rasmus Rask-Skolen;28;Rasmus Rask-Skolen, Hallen;461;43;403611;Brændekildevej 30, Bellinge, 5250 Odense SV;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Rasmus Rask-Skolen, Hallen<br>"
705876;Sct. Knuds Gymnasium;24;Sct. Knuds Gymnasium, Drengegymnastiksalen;461;43;403611;Læssøegade 154, 5230 Odense M;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Sct. Knuds Gymnasium, Drengegymnastiksalen<br>"
711436;Give;17;Give Idrætscenter;630;56;403641;Søndermarken 1, 7323 Give;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Give Idrætscenter<br>"
710054;Grejs Nord;26;Grejs Kulturcenter;630;56;403641;Vestermarksvej 13A, Grejs, 7100 Vejle;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Grejs Kulturcenter<br>"
700940;Thyregod Nord;18;Center Thyregod;630;56;403641;Søndergade 27D, Thyregod, 7323 Give;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Center Thyregod<br>"
703960;Engum Nord;31;Bredal Kro;630;56;403641;Horsensvej 581, 7120 Vejle Øst;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Bredal Kro<br>"
702258;Vandel Nord;29;Vandel Idrætshal;630;56;403641;Skolevej 8, 7184 Vandel;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Vandel Idrætshal<br>"
708586;Jelling Nord;24;Bredagerskolen;630;56;403641;Bredager 26A, 7300 Jelling;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Bredagerskolen<br>"
708580;Nørup Nord;28;Nørup Hallen;630;56;403641;Tørskindvej 3R, Ny Nørup, 7182 Bredsten;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nørup Hallen<br>"
700946;Givskud Nord;20;Givskud Skole;630;56;403641;Vejlevej 47A, Givskud, 7323 Give;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Givskud Skole<br>"
703968;Kollerup-Sandvad Nord;25;Kollerup Skole - Multihallen;630;56;403641;Kollerupvej 12A, Kollerup, 7300 Jelling;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Kollerup Skole - Multihallen<br>"
703974;Øster Nykirke Nord;23;Øster Nykirke Skole;630;56;403641;Skolestien 10D, 7173 Vonge;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Øster Nykirke Skole<br>"
706968;Hældagerhallen Nord;32;Hældagerhallen;630;56;403641;Nørremarksvej 159, Bredballe, 7120 Vejle Øst;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hældagerhallen<br>"
