kandidat,parti,region,stemmer
"Birgit Jensen Hamming, Holbæk",Enhedslisten,Østdanmark,1007
"Malou Skeel, Jammerbugt",Venstre,Nordjylland,1004
"Josefine Paaske, Køge",Venstre,Østdanmark,993
"Christian Wibe-Marker, Skanderborg",Konservative,Midtjylland,992
"Lis Mancini, Hadsund",Socialdemokratiet,Nordjylland,980
"Oliver Abildskov, Aarhus",Konservative,Midtjylland,978
"Frederik Storm, Aalborg",Danmarksdemokraterne,Nordjylland,977
"Jakob Kjærsgaard, Herning",Danmarksdemokraterne,Midtjylland,971
"Ib Madsen, Brovst",Dansk Folkeparti,Nordjylland,965
"Jørgen Hansen, Aalborg Kommune",Socialdemokratiet,Nordjylland,965
Morten Arvidsson,Moderaterne,Nordjylland,962
"Erik Holm, Thisted",SF,Nordjylland,960
"Arne Lægaard, Skanderborg",Venstre,Midtjylland,958
"Lilian Højbjerg, Holstebro",Socialdemokratiet,Midtjylland,956
"Knud Erik Langhoff, Kolding",Konservative,Syddanmark,953
"Lone Glarbo, Favrskov",Danmarksdemokraterne,Midtjylland,945
"Pernille Buhelt, Hjørring",Socialdemokratiet,Nordjylland,944
"Liselott Blixt, Greve",N,Østdanmark,941
"Michael Rask, Greve",Liberal Alliance,Østdanmark,936
"Mads Justsen, Gentofte",Venstre,Østdanmark,934
"Ib Poulsen, Thisted",Dansk Folkeparti,Nordjylland,913
"Lars Lillebæk, Vissenbjerg",Liberal Alliance,Syddanmark,913
"Brian Vittrup, Kolding",Venstre,Syddanmark,911
"Knud Kristensen, Risskov",P,Midtjylland,907
"Jens Kannegaard Lundager, Djursland",Dansk Folkeparti,Midtjylland,905
"Christina Hedegaard Hansen, Horsens",Enhedslisten,Midtjylland,905
"Hanne Ringgaard Møller, Svendborg",Radikale,Syddanmark,903
"Dorte Vilhelmsen, Herlev",Konservative,Østdanmark,899
"Egil Hulgaard, Furesø",Konservative,Østdanmark,896
"Anja Busch, Faaborg-Midtfyn",Danmarksdemokraterne,Syddanmark,892
"Mads Holdgaard, Faaborg-Midtfyn",SF,Syddanmark,884
"Marianne Tøttrup, Viborg Kommune",Radikale,Midtjylland,880
"Helle Lethmar, Køge",Socialdemokratiet,Østdanmark,878
