kommune,kommune_dagi_id,frigivelsestidspunkt,opdateringstidspunkt,valgforbund_navn,kandidatliste_id,valgforbund_partier,valgforbund_partibogstav
Hedensted,389178,2025-10-06 10:31:46,2025-10-06 10:31:46,C - O - Æ,"['7095824a-ed6e-40c5-a744-383fa2ef1a5d', '74e64b3f-a23a-4e8f-ba01-15d7b7ce1a9f', 'c56f6d55-99fa-4db4-977c-60f541923da1']","['Det Konservative Folkeparti', 'Dansk Folkeparti', 'Danmarksdemokraterne - Inger Støjberg']","['C', 'O', 'Æ']"
Skanderborg,389193,2025-10-06 10:01:55,2025-10-06 10:01:55,"A, B, F, M, Ø, Å","['19e1a513-e02d-49ac-8e51-3bad3cf0db46', '571f8a10-db53-460d-9f08-c03eef72b7b3', '67d646c0-7dfb-40a7-ae5e-be72dd6d86e3', '7bb48fa7-7326-494b-889e-8eef7dd2d985', 'ac9c1d58-9598-4fb2-b44b-66ce155efabe', 'b88e21e3-bbb0-4103-ad69-478649628717']","['SF – Socialistisk Folkeparti', 'Moderaterne', 'Enhedslisten – De Rød-Grønne', 'Radikale Venstre', 'Socialdemokratiet', 'Alternativet']","['F', 'M', 'Ø', 'B', 'A', 'Å']"
Skanderborg,389193,2025-10-06 10:01:55,2025-10-06 10:01:55,"C, I, O, V, Æ","['298f10b7-dc55-4b65-a004-23046463adb5', '74920035-4525-4d0f-a6d1-e8278b47913f', '79fd692d-b7d5-49f6-b11d-1d2c373a41c3', '9e8c20bc-491a-4e69-a454-349b0f703eb3', 'c0c9ead4-c75e-4cd5-b657-9201314cadad']","['Liberal Alliance', 'Dansk Folkeparti', 'Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti', 'Venstre, Danmarks Liberale Parti']","['I', 'O', 'Æ', 'C', 'V']"
Høje-Taastrup,389114,2025-10-06 11:42:21,2025-10-06 11:42:21,"Liberal Alliance, Moderaterne, Venstre, Danmarks Liberale Parti","['55a9ad22-6b0c-4718-9625-e89ad5777e80', '95d5fd4c-31eb-4fe2-8499-30875505b85c', 'a8fa991f-51be-4009-bb88-b01dca0767d0']","['Moderaterne', 'Liberal Alliance', 'Venstre, Danmarks Liberale Parti']","['M', 'I', 'V']"
Høje-Taastrup,389114,2025-10-06 11:42:21,2025-10-06 11:42:21,"Socialdemokratiet, Socialistisk Folkeparti - SF, Frie, Radikale Venstre Grønne, Enhedslisten - De Rød-Grønne","['16745cef-afe2-4b2c-b2bb-5ad4122acae2', '72ca2149-e180-4b06-a058-b871d25bda74', 'ab601463-46c7-449a-adc4-12026df6706d', 'd9dab0c0-46d4-4e62-8da3-3018ae7cb8e6', 'df7f6282-e879-4d52-99bf-88f0514f1110']","['Socialdemokratiet', 'Socialistisk Folkeparti – SF', 'Enhedslisten - De Rød-Grønne', 'Radikale Venstre', 'Frie Grønne']","['A', 'F', 'Ø', 'B', 'Q']"
Høje-Taastrup,389114,2025-10-06 11:42:21,2025-10-06 11:42:21,"Det Konservative Folkeparti, Dansk Folkeparti","['0f8b4d04-81ed-4a54-aa0d-1dcfac731442', '88ec2c49-5b74-4c69-a7f8-cb01c6a732ea']","['Det Konservative Folkeparti', 'Dansk Folkeparti']","['C', 'O']"
Halsnæs,389131,2025-10-06 10:17:15,2025-10-06 10:17:15,"Socialdemokratiet, Socialistisk Folkeparti og Enhedslisten - De Rød-Grønne","['43d7cdfe-f122-47a5-a103-4db33ba81c4d', '43f06366-2e22-4a34-89d9-b5bce15f0f28', 'bd9f6ebc-565b-40d6-b8fd-1a09c6866aea']","['Enhedslisten - De Rød-Grønne', 'Socialdemokratiet', 'Socialistisk Folkeparti']","['Ø', 'A', 'F']"
Halsnæs,389131,2025-10-06 10:17:15,2025-10-06 10:17:15,Moderaterne og Venstre - Danmarks Liberale Parti,"['0897ad7a-c817-4e6f-8b82-283b47ee5f04', '36c9b850-7467-4f9f-90e3-ecfd39417d3d']","['Venstre - Danmarks Liberale Parti', 'Moderaterne']","['V', 'M']"
Halsnæs,389131,2025-10-06 10:17:15,2025-10-06 10:17:15,"Det Konservative Folkeparti, Liberal Alliance, Dansk Folkeparti og Danmarksdemokraterne - Inger Støjberg","['1e7388bd-7474-4cb0-bc50-1806d340030b', '82bca239-916e-4cc2-af7c-6f5769c29934', '99ffaecb-0421-4355-9c27-8dd80a40cd0f', 'ada36c28-efa2-4fe6-8833-4d48d775faf4']","['Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti', 'Liberal Alliance', 'Dansk Folkeparti']","['Æ', 'C', 'I', 'O']"
Halsnæs,389131,2025-10-06 10:17:15,2025-10-06 10:17:15,Radikale Venstre og Alternativet,"['82a574fd-94c7-4ea1-aa7a-35d80e4868e0', '8ef9f90e-e48a-4afd-8fd3-25003291bd6b']","['Radikale Venstre', 'Alternativet']","['B', 'Å']"
Glostrup,389110,2025-10-06 11:25:49,2025-10-06 11:25:49,"Valgforbund: I, O, V","['29db81e1-0aeb-4c95-9a09-ba1acf77f1ce', 'af915377-4e8b-432e-a60e-ed94ce48ad5a', 'c1cb2f4c-0728-4f8e-92f5-0ca62d9b8a24']","['Venstre - Danmarks Liberale Parti', 'Dansk Folkeparti i Glostrup', 'Liberal Alliance']","['V', 'O', 'I']"
Glostrup,389110,2025-10-06 11:25:49,2025-10-06 11:25:49,"Valgforbund: B, F, Ø, Å","['1a86d500-3981-4ea0-9be3-06a056aa95ab', '2f57f3a2-cdda-450c-8bc9-7b51a541e3bc', 'ad76ca5c-016d-4c71-9522-cae5ff3d45fb', 'f4fa5cf9-750b-413d-a056-8017246e5354']","['SF - Socialistisk Folkeparti', 'Alternativet', 'Radikale Venstre', 'Enhedslisten - De Rød-Grønne']","['F', 'Å', 'B', 'Ø']"
