kandidat,parti,kommune,stemmer
Helle Raun Oddershede,Socialdemokratiet,Odense Kommune,741
Carsten Sørensen,Dansk Folkeparti,Odense Kommune,740
Hüseyin Arac,Socialdemokratiet,Aarhus Kommune,738
Mette Lene Jensen,Venstre,Helsingør Kommune,737
Henning Ravn,Venstre,Esbjerg Kommune,733
Andreas Pourkamali,Radikale,Næstved Kommune,733
Marlene Harpsøe,Danmarksdemokraterne,Helsingør Kommune,732
Marianne Mulle Jensen,Radikale,Aalborg Kommune,732
Frank Jensen,Radikale,Fanø Kommune,731
Bünyamin Simsek,Konservative,Aarhus Kommune,730
Tommy Tønning,Socialdemokratiet,Herning Kommune,729
Jørgen Thøgersen,Socialdemokratiet,Vejen Kommune,726
