kandidat,parti,kommune,stemmer
Annelise Madsen,D,Ishøj Kommune,726
Andreas Boesen,Socialdemokratiet,Horsens Kommune,725
Anne Marie Søe Nørgaard,Venstre,Herning Kommune,724
Morten Kamstrup,SF,Rebild Kommune,724
Dorthe Jensen,Socialdemokratiet,Silkeborg Kommune,723
Sofie Ringgaard Schøning,Konservative,Viborg Kommune,722
Peter Nielsen,Liberal Alliance,Varde Kommune,721
Nickolai Hamann,Dansk Folkeparti,Næstved Kommune,721
Joachim Hoffmann,Konservative,Odense Kommune,719
Joan Hansen,Venstre,Herning Kommune,717
Nikolaj Møller Jensen,Venstre,Silkeborg Kommune,716
Emilie Schumacher,Enhedslisten,Helsingør Kommune,716
Lars Hansen,SF,Silkeborg Kommune,716
Lone Langballe,Dansk Folkeparti,Viborg Kommune,716
Mariann Winther,Enhedslisten,Odder Kommune,714
Jesper Hebsgaard Pedersen,Venstre,Holstebro Kommune,713
Mads Lustrup,Socialdemokratiet,Esbjerg Kommune,712
Kenneth Storm,Liberal Alliance,Herning Kommune,711
Abdirashid Sheikh,Socialdemokratiet,Aarhus Kommune,710
Claus Udbye,Venstre,Herning Kommune,710
Trine Trærup Roungkvist,Konservative,Silkeborg Kommune,707
Signe Jørgensen,Socialdemokratiet,Esbjerg Kommune,706
Anton Lykke Jensen,Socialdemokratiet,Halsnæs Kommune,705
Rikke Christensen,Radikale,Horsens Kommune,705
Jørn Jønke Nielsen,G,Odense Kommune,704
Mette Hardam,Venstre,Frederikshavn Kommune,704
Thomas Storm,Venstre,Favrskov Kommune,704
Daniel Staugaard,Venstre,Sønderborg Kommune,703
Louise Theilade Thomsen,Venstre,Københavns Kommune,702
Anders Medum Groth,Radikale,Furesø Kommune,702
Emil Pedersen,Venstre,Esbjerg Kommune,701
Simon Vanggaard,Dansk Folkeparti,Ikast-Brande Kommune,700
Nikolaj Vang,Danmarksdemokraterne,Nordfyns Kommune,700
Morten Høgh,Venstre,Silkeborg Kommune,700
Dorthe Adelsbech,Venstre,Faxe Kommune,699
Dorrit Kærgaard,Danmarksdemokraterne,Thisted Kommune,698
Kenneth Rasmussen,SF,Rødovre Kommune,697
Dann Karlsen,Venstre,Herning Kommune,697
Anders Thingholm,Konservative,Nordfyns Kommune,697
Jacob van Dijk,Liberal Alliance,Holbæk Kommune,697
Per Jeppesen,L,Skive Kommune,696
Lene Dybdal,Socialdemokratiet,Holstebro Kommune,696
Peter Hansted,Socialdemokratiet,Ærø Kommune,695
Jon Krongaard,Dansk Folkeparti,Haderslev Kommune,695
Søren Peschardt,Socialdemokratiet,Vejle Kommune,694
Emrah Tuncer,Radikale,Holbæk Kommune,694
Niels Jørgen Pedersen,Venstre,Thisted Kommune,693
Trine Frengler,Socialdemokratiet,Skanderborg Kommune,693
Nickolai Jørgensen,Liberal Alliance,Vordingborg Kommune,692
Niels Grønbæk Jensen,Liberal Alliance,Holstebro Kommune,688
Steffen Daugaard,Dansk Folkeparti,Middelfart Kommune,686
Gustav Mortensen,Socialdemokratiet,Næstved Kommune,685
Anne Møllegaard Mortensen,Dansk Folkeparti,Faaborg-Midtfyn Kommune,685
Lone Kastberg,Venstre,Viborg Kommune,684
Rasmus Steenberger,SF,Københavns Kommune,684
Mikkel Strube-Weber,Venstre,Aarhus Kommune,683
Jesper Marcus,Konservative,Gentofte Kommune,683
Mikkel Berggreen Schmidt,SF,Varde Kommune,682
Brian Mathiassen,Venstre,Vejle Kommune,679
Freja Eva Lockenwitz,Radikale,Rudersdal Kommune,677
Philip Vivet,Radikale,Herning Kommune,675
Lars Prier,Dansk Folkeparti,Høje-Taastrup Kommune,675
Torben Lund,Venstre,Kolding Kommune,675
Frederik Houmann Thuesen,Venstre,Viborg Kommune,674
Patrizia Venturelli Christensen,Liberal Alliance,Gentofte Kommune,674
Christoffer Emil Jexen,Enhedslisten,Rudersdal Kommune,670
Henrik Overgaard,Konservative,Ikast-Brande Kommune,670
Stine Eising,Liberal Alliance,Helsingør Kommune,669
Jeppe Ugilt,Venstre,Rebild Kommune,668
Kasper Kolstrup Møller,Konservative,Syddjurs Kommune,667
Martin Jensen,Socialdemokratiet,Vejle Kommune,666
Theis Rubinke Sørensen,SF,Odder Kommune,666
Court Møller,Radikale,Rudersdal Kommune,665
Gitte Willumsen,Konservative,Silkeborg Kommune,665
Morten Wind Lübker,Konservative,Favrskov Kommune,664
Lars Charlie Mortensen,SF,Vejle Kommune,664
Benny Dall,Enhedslisten,Kolding Kommune,663
Anne Ehrenreich,E,Hørsholm Kommune,663
Charlotte Kjærgaard,Venstre,Viborg Kommune,662
Stinne Thorsen Kvorning,Liberal Alliance,Norddjurs Kommune,661
Mogens Jørgensen,Danmarksdemokraterne,Billund Kommune,661
Andreas Tang-Brock,Socialdemokratiet,Skanderborg Kommune,660
Merete Fuglsang Hansen,Konservative,Jammerbugt Kommune,660
Peter G. Hansen,Socialdemokratiet,Rebild Kommune,660
Susan Gyldenkilde,Socialdemokratiet,Horsens Kommune,659
Michael Thomsen,Venstre,Halsnæs Kommune,659
Goska Rasmussen,Venstre,Skive Kommune,659
Simon Tang,SF,Holstebro Kommune,656
Thomas Hofstedt Nielsen,Konservative,Faaborg-Midtfyn Kommune,655
Tenna Røberg,Dansk Folkeparti,Aarhus Kommune,654
Søren Homann,Konservative,Hjørring Kommune,654
Tommas Leth,Socialdemokratiet,Skanderborg Kommune,653
Gorm Hoff Lauridsen,Konservative,Herning Kommune,653
Frederik Germann,Konservative,Halsnæs Kommune,652
Jens Lønberg,Konservative,Lemvig Kommune,650
Henrik Nielsen,Konservative,Svendborg Kommune,649
Ragnar Dixen,Liberal Alliance,Silkeborg Kommune,648
Malte Houe,Venstre,Morsø Kommune,647
Morten Bo Bertelsen,SF,Thisted Kommune,647
Ninna Buechek,Enhedslisten,Næstved Kommune,647
Molly May Vestergaard,SF,Bornholms Regionskommune,645
Cecilie Liv Hansen,Liberal Alliance,Kolding Kommune,643
Bente Borg Donkin,SF,Helsingør Kommune,642
Monika Skadborg,SF,Hillerød Kommune,642
Michael Larsen,Venstre,Herning Kommune,641
Kasper Brejnholt Bak,Radikale,Gentofte Kommune,640
Anja Kjærhus,Socialdemokratiet,Horsens Kommune,640
Maj-Britt Kjær,Venstre,Aalborg Kommune,639
Mattias Agger,Radikale,Aarhus Kommune,639
Kiki Bille Bach,Socialdemokratiet,Jammerbugt Kommune,639
Henrik Kirk,Venstre,Assens Kommune,636
Claus Bloch,Venstre,Skanderborg Kommune,635
Lars Nielsen,Konservative,Gribskov Kommune,635
Lone Nielsen,L,Herning Kommune,634
Mette Guldberg,Konservative,Herning Kommune,634
Kim Bækdal Agerley,Liberal Alliance,Sønderborg Kommune,634
Henrik Mortensen,Radikale,Holstebro Kommune,633
Morten Møller,Venstre,Skanderborg Kommune,632
Mohammad Rona,Moderaterne,Aalborg Kommune,630
Kasper Haagen Jensen,Socialdemokratiet,Silkeborg Kommune,629
Thomas Worm Larsen,Venstre,Sønderborg Kommune,629
Bob Richard Nielsen,Danmarksdemokraterne,Guldborgsund Kommune,629
Andreas Würtz,Venstre,Ikast-Brande Kommune,628
Søren Hansen,Dansk Folkeparti,Vordingborg Kommune,627
HP Beck,Liberal Alliance,Aalborg Kommune,626
Julie Jacobsen,Dansk Folkeparti,Odsherred Kommune,626
Søren Boel Olesen,Dansk Folkeparti,Holstebro Kommune,625
Helle Bonnesen,Konservative,Københavns Kommune,625
Jeppe Larsen,Socialdemokratiet,Odense Kommune,624
Frederik Klakk,Liberal Alliance,Sønderborg Kommune,623
Thomas Østergaard,Venstre,Ikast-Brande Kommune,622
Annette Dietz,SF,Holstebro Kommune,621
Per N. Mortensen,Venstre,Holstebro Kommune,620
Arne Ebsen,SF,Svendborg Kommune,620
Søren Frøstrup-Agger,SF,Holstebro Kommune,619
Niels Jørgen Brandt,Konservative,Furesø Kommune,619
Ulla Koman,Socialdemokratiet,Esbjerg Kommune,619
Andreas Huus Andersen,Danmarksdemokraterne,Hjørring Kommune,618
Khaled Mustapha,L,Rudersdal Kommune,617
Jens-Kristian Lütken,Venstre,Københavns Kommune,617
Emma Bach,Enhedslisten,Københavns Kommune,616
Paw Hedegaard Amdisen,SF,Horsens Kommune,615
Ib Poulsen,Dansk Folkeparti,Thisted Kommune,615
Signe Knappe,Venstre,Haderslev Kommune,614
Lars Kolling,Dansk Folkeparti,Assens Kommune,613
Lars Høyer Holmqvist,Liberal Alliance,Rudersdal Kommune,613
Lone Haugaard,Moderaterne,Frederikshavn Kommune,612
Jens Skov,SF,Egedal Kommune,612
Christina Thorholm,Radikale,Hillerød Kommune,611
Theis Bach Nielsen,T,Viborg Kommune,610
Kim Drejer Nielsen,Konservative,Rødovre Kommune,610
Hans Hoffensetz,Venstre,Vejle Kommune,610
Casper Wayert,Dansk Folkeparti,Greve Kommune,610
Mette Nielsen,Y,Viborg Kommune,609
Claudia Simoni,SF,Aalborg Kommune,609
Mustafa Arslan,Socialdemokratiet,Ikast-Brande Kommune,608
Morten Petersen,Venstre,Herning Kommune,607
Julie Gottschalk,Dansk Folkeparti,Varde Kommune,607
Rikke Mortensen,Radikale,Egedal Kommune,607
Sven Bertelsen,Socialdemokratiet,Hjørring Kommune,605
Henrik Steen Jensen,SF,Guldborgsund Kommune,605
Tom Moesgaard Bro,Konservative,Holstebro Kommune,604
Vibe Bregendahl Noordeloos,Konservative,Syddjurs Kommune,604
Michael Philip Poulsen,Socialdemokratiet,Viborg Kommune,604
Simon Buus Olsen,Liberal Alliance,Favrskov Kommune,604
Birgitte Bergman,Konservative,Helsingør Kommune,603
Ulf Harbo,N,Norddjurs Kommune,603
Jonna Jul Gudmundsen,Socialdemokratiet,Varde Kommune,602
Liv Lundholm Pedersen,Socialdemokratiet,Frederikshavn Kommune,602
Dino Selimović,Konservative,Esbjerg Kommune,600
Cecilie Louise Stabell,SF,Lolland Kommune,600
Johan Hahn,E,Egedal Kommune,599
Betina D. Jensen,Venstre,Hjørring Kommune,598
Annemette Bach,SF,Vesthimmerlands Kommune,598
Hanne Ringgaard Møller,Radikale,Svendborg Kommune,598
Dennis Charles Hansen,Socialdemokratiet,Aalborg Kommune,598
Allan Blak,Dansk Folkeparti,Lolland Kommune,598
Jens Jakobsen,Venstre,Assens Kommune,597
Heidi Skovbølling Holm,Socialdemokratiet,Horsens Kommune,597
Michael Eskamp Witek,Socialdemokratiet,Odense Kommune,596
Birger Jensen,Venstre,Svendborg Kommune,595
Øzgen Yücel,Venstre,Hillerød Kommune,595
Jakob Kjærsgaard,Danmarksdemokraterne,Herning Kommune,594
Ernst B. Knudsen,L,Herning Kommune,594
Tim Vermund Andersen,Socialdemokratiet,Odense Kommune,593
Poul Gaardbo,Dansk Folkeparti,Brøndby Kommune,592
Laura Sol Kjær Nysom,Enhedslisten,Aalborg Kommune,592
Martin Ingemann-Kristiansen,Venstre,Skanderborg Kommune,591
Rasmus T. Mortensen,SF,Aarhus Kommune,591
Tanja Kromann,Socialdemokratiet,Faaborg-Midtfyn Kommune,591
Jens Nygaard,Danmarksdemokraterne,Frederikshavn Kommune,590
Britta Lange,Socialdemokratiet,Guldborgsund Kommune,589
Laura Riddersholm,SF,Skanderborg Kommune,588
Søs Philipsen,Socialdemokratiet,Ikast-Brande Kommune,586
Lone Glarbo,Danmarksdemokraterne,Favrskov Kommune,586
Torben Ringe Christensen,Socialdemokratiet,Mariagerfjord Kommune,585
Jørgen Mikkelsen,Venstre,Vejle Kommune,584
Daniel Nyborg Jensen,Konservative,Norddjurs Kommune,584
Frederik Vestergaard Jørgensen,Socialdemokratiet,Esbjerg Kommune,584
Dion Christoffersen,Danmarksdemokraterne,Odense Kommune,583
Oliver Abildskov,Konservative,Aarhus Kommune,583
Christina Bottke,Venstre,Skanderborg Kommune,582
Maj Allin Thorup,Konservative,Hørsholm Kommune,582
Julie Quass,Venstre,Rudersdal Kommune,579
Pernelle Jensen,Venstre,Fredericia Kommune,579
Ole Nannerup,Danmarksdemokraterne,Skive Kommune,578
Eva Pinnerup,Socialdemokratiet,Viborg Kommune,577
Niels Henning Bladt,Venstre,Kolding Kommune,577
Claus Mørkbak Højrup,Venstre,Hjørring Kommune,576
Hans Skou,Venstre,Aarhus Kommune,576
Karina Bundgaard,Enhedslisten,Aarhus Kommune,575
Mia Nybo,Radikale,Favrskov Kommune,574
Andreas Grosbøll,SF,Bornholms Regionskommune,574
Christian Jørgensen,Liberal Alliance,Fredericia Kommune,573
Casper Schneidereit,L,Guldborgsund Kommune,573
Linda Johnsen,SF,Middelfart Kommune,572
Anne-Sofie Overgaard,SF,Aalborg Kommune,572
Henrik Grøn,Danmarksdemokraterne,Lemvig Kommune,571
René Tuekær,L,Faxe Kommune,568
Tue Tortzen,Enhedslisten,Hillerød Kommune,567
Bent Bøgsted,Danmarksdemokraterne,Frederikshavn Kommune,567
Pernille Lundsgaard,Venstre,Horsens Kommune,566
Henriette Hennelund,SF,Aarhus Kommune,566
Jeppe Korreborg Pedersen,Konservative,Vesthimmerlands Kommune,566
Julie Hoff Sørensen,SF,Stevns Kommune,566
Bodil Kornbek,Socialdemokratiet,Lyngby-Taarbæk Kommune,564
Liselott Blixt,L,Greve Kommune,563
Kashif Ahmad,Radikale,Københavns Kommune,563
Jens Riise Dalgaard,Socialdemokratiet,Mariagerfjord Kommune,563
Bergur Løkke Rasmussen,Moderaterne,Helsingør Kommune,562
Jes Rønn Hansen,Socialdemokratiet,Middelfart Kommune,562
Niclas Turan Kandemir,Socialdemokratiet,Odense Kommune,561
Niels Peter Bøgballe,Socialdemokratiet,Horsens Kommune,561
Malthe Jacobsen,Enhedslisten,Helsingør Kommune,561
Rikke Worsøe,Venstre,Herning Kommune,561
Lars Høgh,Venstre,Hjørring Kommune,560
Henrik Taagaard,Socialdemokratiet,Hjørring Kommune,559
Inge Duus Hjortlund,SF,Lyngby-Taarbæk Kommune,557
Karina Aamann,Venstre,Horsens Kommune,557
Asger Andersen,Socialdemokratiet,Vesthimmerlands Kommune,557
Jette Juul,Dansk Folkeparti,Hillerød Kommune,557
René Larsen,Socialdemokratiet,Langeland Kommune,557
Pernille Søndergaard,Moderaterne,Gribskov Kommune,557
Silas Drejer,Socialdemokratiet,Helsingør Kommune,556
Martin Frausing Poulsen,Danmarksdemokraterne,Skanderborg Kommune,555
Lars Elbrandt,SF,Hillerød Kommune,555
Gitte Bundgaard,Danmarksdemokraterne,Rebild Kommune,555
Gitte Kjær-Westermann,Radikale,Lyngby-Taarbæk Kommune,553
Mette Eikelund,SF,Gladsaxe Kommune,553
Anna Mette Skov Borring,Radikale,Faaborg-Midtfyn Kommune,553
Mikael Würtz,Dansk Folkeparti,Ikast-Brande Kommune,552
Annette Vilhelmsen,Radikale,Svendborg Kommune,552
Morten Klessen,Socialdemokratiet,Jammerbugt Kommune,551
Michael Perch,Socialdemokratiet,Næstved Kommune,551
Jeppe Ulrich Lomholt,Enhedslisten,Aarhus Kommune,550
Nicolai Møller,Liberal Alliance,Thisted Kommune,550
Nitasha Dahlstrøm,Socialdemokratiet,Odense Kommune,549
Jette Jepsen,Radikale,Morsø Kommune,549
Anders Rohr Jørgensen,Venstre,Esbjerg Kommune,549
Josephine Alstrup Kofod,Dansk Folkeparti,Haderslev Kommune,547
Mathias Hasager,Venstre,Aalborg Kommune,547
Ole Drøgemüller,Radikale,Skanderborg Kommune,547
Nanna Kastorp,SF,Esbjerg Kommune,547
Annette Haagerup,Venstre,Skanderborg Kommune,547
Allan Svendsen,Dansk Folkeparti,Tønder Kommune,545
Jan Bjeldbak,Venstre,Frederikshavn Kommune,545
Claus Leick,SF,Skanderborg Kommune,544
Anne Fabricius,Socialdemokratiet,Odense Kommune,544
Anette Maj Billesbølle,Socialdemokratiet,Rudersdal Kommune,544
Hans Erik Møller,Socialdemokratiet,Esbjerg Kommune,542
Jørgen Lastein,Venstre,Vejen Kommune,542
Claus Damm Johansen,Liberal Alliance,Sønderborg Kommune,542
Jens Henrik Thulesen Dahl,Danmarksdemokraterne,Assens Kommune,542
Janne Hansen,L,Guldborgsund Kommune,538
Dorte Nørbo,SF,Rudersdal Kommune,537
Rik Kool,Danmarksdemokraterne,Svendborg Kommune,537
Benny Hammer,Konservative,Norddjurs Kommune,537
Emil M. D. Christensen,Venstre,Aarhus Kommune,537
Anders Vildsø,SF,Svendborg Kommune,537
Lone Boye,Socialdemokratiet,Favrskov Kommune,536
Louise Madsgaard,Venstre,Aalborg Kommune,535
Lissa Birkkjær Højmose,Socialdemokratiet,Skive Kommune,535
Tore Vilhelmsen,Radikale,Odense Kommune,534
Rita Primdahl,Venstre,Skive Kommune,533
Helle Wisbech,Enhedslisten,Svendborg Kommune,533
Sanne Skougaard Andersen,Venstre,Odense Kommune,533
Jakob Svendsen,Danmarksdemokraterne,Viborg Kommune,532
Benjamin Pedersen,Konservative,Ringsted Kommune,531
Thomas Krog,SF,Brønderslev Kommune,531
Leif Storgaard Pedersen,SF,Haderslev Kommune,531
Shawn Owens,Konservative,Aarhus Kommune,531
Erling Præstekjær,Dansk Folkeparti,Herning Kommune,530
Amanda Manfeld,SF,Gladsaxe Kommune,529
Simon Skals,Socialdemokratiet,Silkeborg Kommune,528
Carsten Kringelum Duus,Socialdemokratiet,Odense Kommune,528
Kristian Tørning,Dansk Folkeparti,Gladsaxe Kommune,527
Henrik Høegh-Andersen,Venstre,Guldborgsund Kommune,527
Birthe Knudsen,Socialdemokratiet,Horsens Kommune,527
Ali Qais,Moderaterne,Tårnby Kommune,526
Anette Pilmark,Socialdemokratiet,Brøndby Kommune,524
Kjeld Hedegård,Danmarksdemokraterne,Jammerbugt Kommune,524
Bibi Mundbjerg,Venstre,Holstebro Kommune,523
Helle Laursen Petersen,Liberal Alliance,Kalundborg Kommune,523
Karlo Brondbjerg,Kristendemokraterne,Herning Kommune,523
Lars Faarup,Socialdemokratiet,Silkeborg Kommune,522
Eva Flyvholm,Enhedslisten,Sorø Kommune,522
Kenneth Ettrup Hansen,Liberal Alliance,Vejle Kommune,522
Vinnie Borbjerg,Socialdemokratiet,Herning Kommune,522
Karina V. Jensen,SF,Fredensborg Kommune,521
Sebastian Støckler,Venstre,Skanderborg Kommune,521
Katarina Ammitzbøll,Venstre,Gentofte Kommune,521
Laura Elise Andersen-Mühl,SF,Odense Kommune,521
Michael Mathiesen,Konservative,Helsingør Kommune,519
Amalie Thomsen,Konservative,Vejle Kommune,519
Piet Papageorge Timmermann,Venstre,Glostrup Kommune,518
Søren Peder Jensen,Venstre,Herning Kommune,518
Martin Østergaard Olsen,Konservative,Esbjerg Kommune,517
Tina Rosenkilde,Konservative,Haderslev Kommune,517
Anne-Mette Ebensgaard,Socialdemokratiet,Odense Kommune,517
Stampe Duus,Konservative,Holbæk Kommune,516
Luna Solhave,Venstre,Københavns Kommune,516
Per Thisted,Venstre,Varde Kommune,516
Lena Holm Olsen,Socialdemokratiet,Vejle Kommune,516
Klavs Norup Lauridsen,Konservative,Kerteminde Kommune,514
Simon Højer,Konservative,Viborg Kommune,514
Christian Engen,Venstre,Hjørring Kommune,513
Susanne Blegvad Posselt,SF,Sønderborg Kommune,513
Nino Rizzato,Venstre,Næstved Kommune,512
Louise Mejnert Ferslev,Liberal Alliance,Middelfart Kommune,511
Fatih Baran,Enhedslisten,Brøndby Kommune,510
Bo Brøndum Pedersen,E,Egedal Kommune,510
Hanne Klit,Socialdemokratiet,Svendborg Kommune,510
Mogens Gade,Venstre,Jammerbugt Kommune,509
Kim Hammer,Dansk Folkeparti,Rødovre Kommune,508
Susanne Lund,Konservative,Aarhus Kommune,508
Esat Senturk,Radikale,Høje-Taastrup Kommune,507
Martin Skou Heidemann,Venstre,Gladsaxe Kommune,507
Signe Jackson,Socialdemokratiet,Faaborg-Midtfyn Kommune,506
Michael Rask,Liberal Alliance,Greve Kommune,506
Michael Thomsen,SF,Herning Kommune,505
Poul Berggreen,Venstre,Silkeborg Kommune,505
Irfan Gilani,Radikale,Brøndby Kommune,503
Erik Høgh-Sørensen,L,Hjørring Kommune,503
Bent Kloster,Venstre,Haderslev Kommune,503
Jenny Rørbæk Jensen,Enhedslisten,Aalborg Kommune,502
Steen Løfstrøm,Dansk Folkeparti,Fredensborg Kommune,502
Niels Chresten Andersen,Kristendemokraterne,Bornholms Regionskommune,502
Bjarne Jensen,Socialdemokratiet,Aalborg Kommune,501
Mette Kjærulff,Venstre,Thisted Kommune,500
Anton Brüniche-Olsen,Konservative,Gentofte Kommune,500
Erik Poulsen,Venstre,Herning Kommune,499
Peder Larsen,SF,Mariagerfjord Kommune,499
Jonas Kallan Langvad,Venstre,Kolding Kommune,498
Erik Mortensen,D,Skive Kommune,498
Hans Blaaberg,Dansk Folkeparti,Brøndby Kommune,497
Frank W. Damgaard,Socialdemokratiet,Skanderborg Kommune,495
Kirsten Bachmann,Slesvigsk Parti,Sønderborg Kommune,494
Ole Pedersen,L,Faaborg-Midtfyn Kommune,493
Line Mørkegaard,L,Faxe Kommune,492
Svend Erik Nielsen,Danmarksdemokraterne,Vejle Kommune,491
Mathias Holger Nielsen,Konservative,Hjørring Kommune,491
Birgitte Neergaard-Kofod,Konservative,Egedal Kommune,491
Hamlaoui Bahloul,Socialdemokratiet,Kolding Kommune,491
Stina Egedius Miller,SF,Gribskov Kommune,490
H. C. Jørgensen,Socialdemokratiet,Ikast-Brande Kommune,490
Carsten Bjerre,Radikale,Silkeborg Kommune,490
Christian Ahlefeldt-Laurvig,Venstre,Holbæk Kommune,490
Henriette Klingberg-Nielsen,Venstre,Guldborgsund Kommune,489
Ulrik Kølle Hansen,Venstre,Langeland Kommune,488
Øjvind Vilsholm,Enhedslisten,Furesø Kommune,486
Jens Damsbo Kjærsgaard,Konservative,Herning Kommune,486
Maria Sofie Petersen,Enhedslisten,Københavns Kommune,485
Inga Lykke,Venstre,Haderslev Kommune,485
Mustapha El-Ahmad,SF,Vejle Kommune,485
Camilla Andersen,Venstre,Jammerbugt Kommune,485
Anders Nim,Liberal Alliance,Rudersdal Kommune,485
Allan Ritter,Konservative,Vesthimmerlands Kommune,485
Leif Brøgger,Venstre,Holstebro Kommune,485
Susanne Stenstrop Thorsen,SF,Kolding Kommune,484
Bodil Staal,Socialdemokratiet,Vejen Kommune,483
Winnie Sørensen,SF,Tårnby Kommune,483
Palle Høj,Venstre,Ikast-Brande Kommune,483
Dorthe Egede Borg,Venstre,Faxe Kommune,483
Claus Svendsen,Venstre,Jammerbugt Kommune,482
Musa Harmanci,Konservative,Furesø Kommune,482
Jonas Ring Madsen,Socialdemokratiet,Solrød Kommune,482
Inge Dinis,Socialdemokratiet,Ikast-Brande Kommune,481
Charlotte Jørgensen,SF,Kalundborg Kommune,481
Niels Haxthausen,SF,Lyngby-Taarbæk Kommune,481
Morten Skydsgaard,Konservative,Silkeborg Kommune,481
Jesper Kock,Socialdemokratiet,Sønderborg Kommune,481
Nadeem Farooq,Radikale,Høje-Taastrup Kommune,480
Niels Benjamin Sørensen,Danmarksdemokraterne,Sønderborg Kommune,479
Jonas Nørgaard,Danmarksdemokraterne,Odsherred Kommune,479
Tommy Rachlitz Nielsen,Konservative,Fredericia Kommune,479
Pia Viller Arendt,Venstre,Viborg Kommune,479
Syed Aejaz Haider Bukhari,Socialdemokratiet,Brøndby Kommune,479
Morten Bang,Danmarksdemokraterne,Favrskov Kommune,478
Karsten Byrgesen,J,Fredericia Kommune,478
John Lamp Henriksen,Konservative,Frederikshavn Kommune,477
Stine Brun Eliasen,Danmarksdemokraterne,Aalborg Kommune,477
Asger Romme Andersen,Enhedslisten,Sønderborg Kommune,477
Julie Bruus Jensen,Venstre,Odense Kommune,477
Christina Egelund Antonsen,Socialdemokratiet,Horsens Kommune,476
Steen Søgaard Petersen,J,Brønderslev Kommune,476
Andreas Møller,Moderaterne,Odense Kommune,475
Kristian Risager Larsen,Radikale,Skanderborg Kommune,475
Awale Mohamed,Socialdemokratiet,Ishøj Kommune,474
Birgitte Kristine Nielsen,Socialdemokratiet,Silkeborg Kommune,474
Jimmy Støttrup,Venstre,Vesthimmerlands Kommune,474
Signe Rosa Skelbæk,Enhedslisten,Gladsaxe Kommune,474
Jesper Adler,Konservative,Vordingborg Kommune,474
Jens Rane Holck,SF,Gribskov Kommune,474
Charlotte Kirchheiner,Konservative,Hørsholm Kommune,474
Andrea Christoffersen,Konservative,Odense Kommune,473
Helga Sandorf Jacobsen,Venstre,Silkeborg Kommune,473
Søren Christiansen,Venstre,Ikast-Brande Kommune,472
Gitte Corell,SF,Vordingborg Kommune,471
Dag Kristiansen,Liberal Alliance,Norddjurs Kommune,471
Mikkel Hartwich,Dansk Folkeparti,Fredensborg Kommune,471
Torben Struck,Socialdemokratiet,Tønder Kommune,471
Michael R. Rugaard,Konservative,Brøndby Kommune,470
Alexander Green,Danmarksdemokraterne,Silkeborg Kommune,469
